sFile,sPath,sTrialType,sSubject,sPrefix,bTrial,nTrial,tSync,sSession,idTrial,nSampleStart,nSampleEnd,sModel
Sim_RHand_20DOF_Inv_idTrialType27_idTrial27.mat,/Users/matthewyough/Documents/Repository/project_archive/Data and Database/Scaling Database/Subject Data/Subject OSIM Elbow_Full_Euler_All5/OS,w_pro_0,full_arm_model_osv4_forearm_elbow_full_euler_all5,OSIM,1,27,0,OSIM_Rhand_20DOF_Inv_forearm_elbow_full_euler_all5,,1,,osim
Sim_RHand_20DOF_Inv_idTrialType28_idTrial28.mat,/Users/matthewyough/Documents/Repository/project_archive/Data and Database/Scaling Database/Subject Data/Subject OSIM Elbow_Full_Euler_All5/OS,w_sup_0,full_arm_model_osv4_forearm_elbow_full_euler_all5,OSIM,1,28,0,OSIM_Rhand_20DOF_Inv_forearm_elbow_full_euler_all5,,1,,osim
Sim_RHand_20DOF_Inv_idTrialType29_idTrial29.mat,/Users/matthewyough/Documents/Repository/project_archive/Data and Database/Scaling Database/Subject Data/Subject OSIM Elbow_Full_Euler_All5/OS,w_flx_add_0,full_arm_model_osv4_forearm_elbow_full_euler_all5,OSIM,1,29,0,OSIM_Rhand_20DOF_Inv_forearm_elbow_full_euler_all5,,1,,osim
Sim_RHand_20DOF_Inv_idTrialType30_idTrial30.mat,/Users/matthewyough/Documents/Repository/project_archive/Data and Database/Scaling Database/Subject Data/Subject OSIM Elbow_Full_Euler_All5/OS,w_ext_abd_0,full_arm_model_osv4_forearm_elbow_full_euler_all5,OSIM,1,30,0,OSIM_Rhand_20DOF_Inv_forearm_elbow_full_euler_all5,,1,,osim
Sim_RHand_20DOF_Inv_idTrialType31_idTrial31.mat,/Users/matthewyough/Documents/Repository/project_archive/Data and Database/Scaling Database/Subject Data/Subject OSIM Elbow_Full_Euler_All5/OS,h_close_0,full_arm_model_osv4_forearm_elbow_full_euler_all5,OSIM,1,31,0,OSIM_Rhand_20DOF_Inv_forearm_elbow_full_euler_all5,,1,,osim
Sim_RHand_20DOF_Inv_idTrialType32_idTrial32.mat,/Users/matthewyough/Documents/Repository/project_archive/Data and Database/Scaling Database/Subject Data/Subject OSIM Elbow_Full_Euler_All5/OS,h_open_0,full_arm_model_osv4_forearm_elbow_full_euler_all5,OSIM,1,32,0,OSIM_Rhand_20DOF_Inv_forearm_elbow_full_euler_all5,,1,,osim
Sim_RHand_20DOF_Inv_idTrialType33_idTrial33.mat,/Users/matthewyough/Documents/Repository/project_archive/Data and Database/Scaling Database/Subject Data/Subject OSIM Elbow_Full_Euler_All5/OS,h_close_w_pro_0,full_arm_model_osv4_forearm_elbow_full_euler_all5,OSIM,1,33,0,OSIM_Rhand_20DOF_Inv_forearm_elbow_full_euler_all5,,1,,osim
Sim_RHand_20DOF_Inv_idTrialType34_idTrial34.mat,/Users/matthewyough/Documents/Repository/project_archive/Data and Database/Scaling Database/Subject Data/Subject OSIM Elbow_Full_Euler_All5/OS,h_open_w_pro_0,full_arm_model_osv4_forearm_elbow_full_euler_all5,OSIM,1,34,0,OSIM_Rhand_20DOF_Inv_forearm_elbow_full_euler_all5,,1,,osim
Sim_RHand_20DOF_Inv_idTrialType35_idTrial35.mat,/Users/matthewyough/Documents/Repository/project_archive/Data and Database/Scaling Database/Subject Data/Subject OSIM Elbow_Full_Euler_All5/OS,h_close_w_sup_0,full_arm_model_osv4_forearm_elbow_full_euler_all5,OSIM,1,35,0,OSIM_Rhand_20DOF_Inv_forearm_elbow_full_euler_all5,,1,,osim
Sim_RHand_20DOF_Inv_idTrialType36_idTrial36.mat,/Users/matthewyough/Documents/Repository/project_archive/Data and Database/Scaling Database/Subject Data/Subject OSIM Elbow_Full_Euler_All5/OS,h_open_w_sup_0,full_arm_model_osv4_forearm_elbow_full_euler_all5,OSIM,1,36,0,OSIM_Rhand_20DOF_Inv_forearm_elbow_full_euler_all5,,1,,osim
